CPU_type,CPU_cores,OS,RAM_size,RAM_type,SSD_size,SSD,Drive_size,MRP
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
Intel,2.0,Windows,8,DDR4,512,1,512,32990.0
AMD,6.0,Windows,8,DDR4,512,1,512,49990.0
Intel,4.0,Windows,8,DDR4,512,1,512,49990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,2.0,Windows,8,DDR4,256,1,1256,38990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
Intel,2.0,Windows,8,DDR4,256,1,256,46990.0
AMD,4.0,Windows,16,DDR4,512,1,512,44990.0
AMD,6.0,Windows,8,DDR4,512,1,512,59990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
Intel,2.0,Windows,8,DDR4,256,1,256,32990.0
AMD,6.0,Windows,8,DDR4,512,1,512,52990.0
Intel,2.0,Windows,8,DDR4,256,1,256,29990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,4.0,Windows,8,DDR4,256,1,1256,47990.0
Intel,4.0,Windows,8,DDR4,512,1,512,45990.0
AMD,6.0,Windows,8,DDR4,512,1,512,47990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
Apple,8.0,Mac OS,8,DDR4,256,1,256,88990.0
Intel,2.0,Windows,8,DDR4,512,1,512,40990.0
Intel,2.0,DOS,4,DDR4,256,1,512,19490.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
Intel,4.0,Windows,8,DDR4,512,1,512,65990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
Intel,4.0,Windows,16,DDR4,512,1,512,58990.0
Intel,2.0,Windows,8,DDR4,256,1,256,46990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,256,1,256,24990.0
AMD,6.0,Windows,8,DDR4,512,1,512,47990.0
AMD,8.0,Windows,8,DDR4,512,1,512,73990.0
Intel,4.0,Windows,8,DDR4,512,1,512,53490.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,4.0,Windows,8,DDR4,512,1,512,51990.0
Intel,4.0,Windows,16,DDR4,512,1,512,66990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,6.0,Windows,16,DDR4,512,1,512,51990.0
AMD,2.0,Windows,8,DDR4,256,1,256,25990.0
AMD,4.0,Windows,8,DDR4,512,1,512,35990.0
Intel,4.0,Windows,8,DDR4,512,1,512,43990.0
AMD,6.0,Windows,8,DDR4,512,1,512,44990.0
AMD,6.0,Windows,8,DDR4,512,1,512,64490.0
Intel,2.0,Windows,8,DDR4,256,1,256,40990.0
Intel,2.0,Windows,8,DDR4,512,1,512,38990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
Intel,4.0,Windows,8,DDR4,512,1,512,58990.0
Intel,4.0,Windows,8,DDR4,512,1,512,59990.0
Intel,4.0,Windows,8,DDR4,512,1,512,47990.0
AMD,4.0,Windows,8,DDR4,512,1,512,37499.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
AMD,8.0,Windows,8,DDR4,1000,1,1000,94990.0
Intel,2.0,Windows,8,DDR4,512,1,512,32990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
Intel,2.0,Windows,4,DDR4,256,1,256,23990.0
AMD,6.0,Windows,16,DDR4,512,1,512,48990.0
Apple,10.0,Mac OS,8,Unified Memory,512,1,512,139990.0
AMD,8.0,Windows,16,DDR4,512,1,512,89990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,Windows,8,DDR4,512,1,512,39990.0
AMD,6.0,Windows,8,DDR4,1000,1,1000,59990.0
AMD,6.0,Windows,16,DDR4,512,1,512,70990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,194990.0
AMD,6.0,Windows,8,DDR4,512,1,512,44990.0
Intel,4.0,Windows,8,DDR4,256,1,256,22990.0
AMD,6.0,Windows,8,DDR4,512,1,512,46990.0
Intel,4.0,Windows,8,DDR4,256,1,1256,50990.0
Intel,2.0,Windows,8,DDR4,256,1,256,28990.0
Intel,4.0,Windows,8,DDR4,512,1,512,39990.0
AMD,4.0,Windows,8,DDR4,512,1,512,38705.0
Intel,6.0,Windows,16,DDR4,512,1,512,84990.0
Apple,8.0,Mac OS,16,Unified Memory,512,1,512,181990.0
AMD,8.0,Windows,16,DDR5,1000,1,1000,196990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,85990.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,109990.0
Intel,4.0,Windows,4,DDR4,0,0,128,32990.0
Intel,4.0,Windows,16,DDR4,512,1,512,37990.0
Apple,10.0,Mac OS,8,Unified Memory,512,1,512,139990.0
AMD,2.0,Windows,8,DDR4,512,1,512,35590.0
AMD,8.0,Windows,16,DDR4,1000,1,1000,150990.0
Intel,2.0,Windows,4,DDR4,256,1,256,29990.0
Intel,2.0,Chrome,4,DDR4,0,0,64,19490.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
AMD,8.0,Windows,8,DDR4,512,1,512,73490.0
AMD,6.0,Windows,8,DDR4,256,1,1256,52990.0
Intel,2.0,Windows,8,DDR4,512,1,512,41890.0
Intel,4.0,Windows,8,DDR4,256,1,256,30428.0
Intel,2.0,Windows,8,DDR4,512,1,512,34990.0
Intel,2.0,Chrome,4,DDR4,0,0,64,19490.0
Intel,2.0,Windows,4,DDR4,256,1,256,29990.0
Apple,8.0,Mac OS,8,DDR4,256,1,256,88990.0
Intel,2.0,Windows,8,DDR4,256,1,256,36990.0
Intel,6.0,Windows,8,DDR4,512,1,512,65990.0
Intel,2.0,Windows,8,DDR4,512,1,512,33490.0
